CLUE,ANS,POS,FOUND IN
Soft French cheese ,brie,1,Brie de Meaux
Heart rate ,pulse,8,Bounding pulse
Not particularly surprising,unremarkable,13,Unremarkable fact
Automation ,robot,2,Robotic
District of the Gironde ,m,3,Entre-Deux-Mers
Indian melody ,raga,1,Raga-like
Sticky substance ,goo,4,Gooey
Contract of insurance ,policy,2,Insurance policy
"Soviet statesman (with a liking for cocktails?), d. 1986 ",molotov,8,"Molotov (historically, less about personal habits and more political)"
Country's financial state ,economy,9,Profitable economy
Part of London (or Alberta) ,edmonton,7,"Edmonton (Alberta city, if referring to Alberta but near London)"
Speak to the residence ,address,3,Ring doorbell at address
Dull person; use a drill ,bore,4,Ennui-stricken (person exhibiting signs of boredom or monotony)
